ISIN;Currency;Exchange;ETF Underlying Index Ticker;Dvd Freq;Code;Type;Name;GICS Sector;GICS Ind Name;Name
FR0010591362;EUR;FP;CACSH;None;SHC;ETP;LYXOR CAC 40 DAILY -1X INVER;#N/A N/A;#N/A N/A;LYX CAC40 D -1X
IE00B3VVMM84;GBP;LN;TAWALENU;Quarter;VFEM;ETP;VANG FTSE EM USDD;#N/A N/A;#N/A N/A;VANG FTSE EM $D
IE00B53L3W79;EUR;GY;SX5T;None;SXRT;ETP;ISHARES CORE EURO STOXX 50;#N/A N/A;#N/A N/A;ISHR EURO STX50
IE00B8GKDB10;USD;LN;TAWHDY01;Quarter;VHYD;ETP;VANG FTSE HDY USDD;#N/A N/A;#N/A N/A;VANG DEV WLD $D
LU0629460089;USD;SW;NU734911;Semi-Anl;ASRUSA;ETP;UBS ETF MSCI USA SRI UCITS;#N/A N/A;#N/A N/A;UBS MSCI USA SRI
GB00B0CTWC01;EUR;NA;#N/A Field Not Applicable;#N/A N/A;OILB;ETP;ETFS BRENT 1MTH OIL SECR-EUR;#N/A N/A;#N/A N/A;ETFS BRENT 1MTH
NL0009272756;EUR;NA;AMX;3x a yr;TMX;ETP;VANECK AMX UCITS ETF;#N/A N/A;#N/A N/A;VANECK AMX UCITS
JE00B1VS3333;EUR;IM;SLVRLN;None;PHAG;ETP;WT PHYSICAL SILVER;#N/A N/A;#N/A N/A;WT PHYSICAL SLV
FR0010468983;EUR;FP;SX5TL;Annual;LVE;ETP;LYXOR EURSTX50 DAILY LEV;#N/A N/A;#N/A N/A;LYX STX50 DLEV
GB00B15KXV33;USD;LN;BCLMTTR;None;CRUD;ETP;WT WTI CRUDE OIL;#N/A N/A;#N/A N/A;WT WTI
IE00B4L5YX21;USD;LN;MIMUJPNN;None;IJPA;ETP;ISHARES CORE MSCI JAPAN;#N/A N/A;#N/A N/A;ISH CORE MSCI JP
FR0011869353;EUR;FP;NDDUWI;None;EWLD;ETP;LYXOR PEA MSCI WRLD;#N/A N/A;#N/A N/A;LYX PEA MSC WRLD
IE00B945VV12;GBP;LN;TAWNT06E;Quarter;VEUR;ETP;VANG FTSE EUR EURD;#N/A N/A;#N/A N/A;VANG FTSE DE €D
LU1834988278;EUR;FP;SXER;Irreg;OIL;ETP;LYXOR EURSTX600 OIL&GAS;#N/A N/A;#N/A N/A;LYX STX600 OIL&G
NL0009690239;EUR;NA;GPR100GI;Quarter;TRET;ETP;VANECK GLB REAL ESTATE ETF;#N/A N/A;#N/A N/A;VANECK GLB RL ES
FR0013416716;EUR;FP;GOLDLNPM;None;GOLD;ETP;AMUNDI PHYSICAL GOLD ETC;#N/A N/A;#N/A N/A;AMUNDI PHYS GOLD
IE00B3B8Q275;EUR;GY;IYGB;Semi-Anl;IUS6;ETP;ISHARES EURO COVERED BOND;#N/A N/A;#N/A N/A;ISH € COVERED BD
LU0252633754;EUR;FP;DAX;None;DAX;ETP;LYXOR DAX DR;#N/A N/A;#N/A N/A;LYXETF DAX DR
FR0011871110;EUR;FP;XNDXNNR;None;PUST;ETP;LYXOR PEA NASDAQ 100;#N/A N/A;#N/A N/A;LYX PEA NASDAQ
IE00B4WXJJ64;EUR;GY;LEATTREU;Semi-Anl;EUNH;ETP;ISHARES CORE EURO GOVT BOND;#N/A N/A;#N/A N/A;ISH CORE € GOVT
LU1829221024;EUR;IM;XNDXNNR;Annual;UST;ETP;LYXOR NASDAQ 100-ACC;#N/A N/A;#N/A N/A;LYXOR NASDAQ-ACC
FR0010717124;EUR;FP;CACSH;None;C4S;ETP;AMUNDI ETF SHORT CAC 40 DAIL;#N/A N/A;#N/A N/A;AMUNDI ETF SHORT
IE00B4K48X80;EUR;NA;MSDEE15N;None;IMAE;ETP;ISHARES CORE MSCI EUROPE ACC;#N/A N/A;#N/A N/A;ISH CORE ERP ACC
IE00BKX55S42;GBP;LN;AWNT05EU;Quarter;VERX;ETP;VANG FTSE DEX EURD;#N/A N/A;#N/A N/A;VANG FTSE EXUK€D
FR0011871128;EUR;FP;SPTR500N;None;PSP5;ETP;LYXOR PEA S&P500;#N/A N/A;#N/A N/A;LYX PEA S&P500
FR0013412285;EUR;FP;SPTR500N;None;PE500;ETP;AMUNDI PEA SP500 UCITS ETF;#N/A N/A;#N/A N/A;AMUNDI PEA SP500
LU1829221024;EUR;IM;XNDXNNR;Annual;UST;ETP;LYXOR NASDAQ 100-ACC;#N/A N/A;#N/A N/A;LYXOR NASDAQ-ACC
FR0013412269;EUR;FP;XNDXNNR;None;PANX;ETP;AMUNDI PEA NASDAQ UCITS ETF;#N/A N/A;#N/A N/A;AMUNDI PEA NSDQ
IE00B52VJ196;EUR;NA;NE727461;None;IESE;ETP;ISHARES MSCI EUROPE SRI;#N/A N/A;#N/A N/A;ISH MSCI ERP SRI
IE00BYTRRB94;USD;LN;NU731553;None;WHEA;ETP;SPDR WORLD HEALTH CARE;#N/A N/A;#N/A N/A;SPDR WORLD HLTH
LU1681046261;EUR;FP;EMIGG5;None;CB3;ETP;AMUNDI GOVT BOND EUROMTS;#N/A N/A;#N/A N/A;AMUNDI GOVT BD
IE00B0M63177;GBp;LN;NDUEEGF;Quarter;IEEM;ETP;ISHARES MSCI EM;#N/A N/A;#N/A N/A;ISHARES MSCI EM
FR0010424143;EUR;FP;SX5T2S;None;BXX;ETP;LYXOR EURSTX 50 D -2X INVERS;#N/A N/A;#N/A N/A;LYX STX50 D -2X
FR0010755611;EUR;FP;M00UUS02;None;CL2;ETP;AMUNDI ETF LEVERAGED MSCI US;#N/A N/A;#N/A N/A;AMUNDI ETF LEVER
FR0000021842;EUR;BB;BELPRX;Semi-Anl;BEL;ETP;LYXOR BEL 20 TR DR UCITS ETF;#N/A N/A;#N/A N/A;LYXETF BEL 20 TR
IE00B3ZW0K18;EUR;LN;SPXUXEN;None;IUSE;ETP;ISHARES S&P 500 EUR-H;#N/A N/A;#N/A N/A;ISHR SP 500 €-H
LU0908500753;EUR;FP;SXXR;#N/A N/A;MEUD;ETP;LYXOR CORE EURSTX 600 DR;#N/A N/A;#N/A N/A;LYX CORE EURSTX
NL0011683594;EUR;NA;MSDMDLGE;Quarter;TDIV;ETP;VANECK DEV MKT DVD LEADERS;#N/A N/A;#N/A N/A;VANECK DM DVD LD
IE00B52MJY50;USD;LN;NDDUPFXJ;None;CPXJ;ETP;ISHARES CORE MSCI PACIF X-JP;#N/A N/A;#N/A N/A;ISH MSCI PAC XJP
LU0832435464;EUR;IM;SPVIXETR;#N/A N/A;LVO;ETP;LYXOR S&P500 VIX FTURES ER;#N/A N/A;#N/A N/A;LYX S&P500 VIX F
LU1681045370;EUR;FP;NDUEEGF;None;AEEM;ETP;AMUNDI MSCI EMERG MARK;#N/A N/A;#N/A N/A;AMUNDI MS EM-E
LU1940199711;EUR;FP;NE700717;None;ESGE;ETP;LYXOR MSCI EUR ESG LEADERS;#N/A N/A;#N/A N/A;LYX MSCI EU ESG
LU0959211243;EUR;FP;SPXDHEN;Semi-Anl;SP5H;ETP;LYXOR S&P 500-D-HEDGED;#N/A N/A;#N/A N/A;LYXETF S&P500 DH
LU1598691050;EUR;IM;FMMPITA5;Irreg;BTP13;ETP;LYXOR EUROMTS 1-3Y IT BTP GV;#N/A N/A;#N/A N/A;LYX EMTS 1-3ITBD
IE00B6X2VY59;EUR;LN;BRDHTREU;Semi-Anl;IRCP;ETP;ISHARES EURO CORP BND IR-H;#N/A N/A;#N/A N/A;ISHR €CRP IR-H
IE0032077012;GBp;LN;XNDXNNR;Quarter;EQQQ;ETP;INVESCO NASDAQ-100 DIST;#N/A N/A;#N/A N/A;INVESCO EQQQ
IE00B1FZS798;USD;LN;IDCOT74;Semi-Anl;IDTM;ETP;ISHARES USD TREASURY 7-10Y;#N/A N/A;#N/A N/A;ISHR $ TRES 7-10
IE00B0M63284;EUR;NA;TENDPNE;3x a yr;IPRP;ETP;ISHARES EUROPE PRPRTY YIELD;#N/A N/A;#N/A N/A;ISHR ERP PRTY YD
IE00B3YLTY66;EUR;IM;MIMUAWON;None;IMIE;ETP;SPDR ACWI IMI;#N/A N/A;#N/A N/A;SPDR ACWI
IE00B14X4Q57;EUR;IM;BCEX6T;Irreg;IBGS;ETP;ISHARES EUR GOVT 1-3YR;#N/A N/A;#N/A N/A;ISHR € GOVT 1-3Y
NL0010273801;EUR;NA;IBXXS15T;Quarter;TAT;ETP;VANECK EUR SVRN CAP AAA-AA;#N/A N/A;#N/A N/A;VANECK EUR SVR A
LU0629459743;EUR;GY;NU734908;Semi-Anl;UIMM;ETP;UBS ETF MSCI WORLD SRI;#N/A N/A;#N/A N/A;UBS ETF SC RSP-A
LU0629460675;EUR;GR;NE734914;Semi-Anl;UIMR;ETP;UBS ETF MSCI EMU SRI;#N/A N/A;#N/A N/A;UBS MSCI EMU SRI
IE00B14X4M10;USD;LN;NDDUNA;Quarter;IDNA;ETP;ISHARES MSCI NORTH AMERICA;#N/A N/A;#N/A N/A;ISH MSCI NRTH AM
FR0011550672;EUR;FP;SXXR;Annual;ETZD;ETP;BNP P STOXX EUROPE 600 ETF;#N/A N/A;#N/A N/A;BNPP STOXX 600CD
JE00B1VS3002;EUR;IM;PLDMLNPM;None;PHPD;ETP;WT PHYSICAL PALLADIUM;#N/A N/A;#N/A N/A;WT PHYSCL PALLAD
LU0496786574;EUR;FP;SPTR500N;Semi-Anl;SP5;ETP;LYXOR S&P 500;#N/A N/A;#N/A N/A;LYXETF S&P500
IE0032523478;EUR;LN;IBXXELAT;Quarter;IBCX;ETP;ISHARES EURO CORP LARGE CAP;#N/A N/A;#N/A N/A;ISHR EUR CORP LC
IE00B02KXK85;GBp;LN;TXIN0UNU;Quarter;FXC;ETP;ISHARES CHINA LARGE CAP;#N/A N/A;#N/A N/A;ISHR CHINA LARGE
FR0010757781;EUR;FP;SX5TS;None;C5S;ETP;AMUNDI ETF SHORT EURO STOXX;#N/A N/A;#N/A N/A;AMUNDI ETF SHORT
IE00B4X9L533;USD;LN;NDDUWI;Quarter;HMWD;ETP;HSBC MSCI WORLD UCITS ETF;#N/A N/A;#N/A N/A;HSBC MSCI WORLD
IE00BZ163M45;USD;LN;BUTFTRUU;Monthly;VDTY;ETP;VANGU USDTRBD USDD;#N/A N/A;#N/A N/A;VANG $TSYBD $D
FR0013412020;EUR;FP;NDUEEGF;None;PAEEM;ETP;AMUNDI PEA MSCI EM UCITS ETF;#N/A N/A;#N/A N/A;AMUNDI PEA EM
NL0011376074;EUR;NA;MSEGNWGE;Quarter;TNAE;ETP;VANECK NTH AMER EQ WT ETF;#N/A N/A;#N/A N/A;VANECK NAM EQ WT
IE00B0M62X26;EUR;GY;BEIG1T;None;IBCI;ETP;ISHARES EURO INFL-LKD GOVT;#N/A N/A;#N/A N/A;ISH € INF-LK GOV
IE00B579F325;USD;LN;GOLDLNPM;None;SGLD;ETP;INVESCO PHYSICAL GOLD ETC;#N/A N/A;#N/A N/A;INVESCO PHY GOLD
IE00B0M62S72;EUR;NA;SD3T;Quarter;IDVY;ETP;ISHARES EURO DIVIDEND;#N/A N/A;#N/A N/A;ISHR EURO DIV
FR0013380607;EUR;FP;CACR;None;CACC;ETP;LYXOR CAC 40;#N/A N/A;#N/A N/A;LYX CAC 40
FR0010791194;EUR;FP;M2USSHRT;None;C2U;ETP;AMUNDI ETF SHORT MSCI USA DA;#N/A N/A;#N/A N/A;AMUNDI ETF SHORT
NL0010731816;EUR;NA;TGLOTETR;Quarter;TEET;ETP;VANECK EUROPEAN EQ WT ETF;#N/A N/A;#N/A N/A;VANECK ERP EQ WT
LU1681048804;EUR;FP;SPTR500N;None;500;ETP;AMUNDI S&P 500 UCITS ETF;#N/A N/A;#N/A N/A;AMUNDI S&P 500
IE00B466KX20;USD;LN;NDUEEGFA;None;EMAD;ETP;SPDR EM ASIA;#N/A N/A;#N/A N/A;SPDR EM ASIA
LU0908500753;EUR;FP;SXXR;#N/A N/A;MEUD;ETP;LYXOR CORE EURSTX 600 DR;#N/A N/A;#N/A N/A;LYX CORE EURSTX
FR0011550185;EUR;FP;SPTR500N;None;ESE;ETP;BNP P S&P 500 UCITS ETF;#N/A N/A;#N/A N/A;BNPP S&P500 € C
IE00BYYR0B57;EUR;IM;#N/A Field Not Applicable;None;VVAL;ETP;VANG GLBLVAL USDA;#N/A N/A;#N/A N/A;VANG GLVALUE $D
NL0009272772;EUR;NA;TTMTINL;Quarter;NTM;ETP;VANECK BALANCED ALLOCATION;#N/A N/A;#N/A N/A;VANECK BLNC ALLC
IE00BYTRR863;USD;LN;NU731551;None;WNRG;ETP;SPDR WORLD ENERGY;#N/A N/A;#N/A N/A;SPDR WORLD ENRGY
IE00BKT6FV49;EUR;NA;MIMUJPNN;None;SJPE;ETP;ISHARES CORE MSCI JP - EURHA;#N/A N/A;#N/A N/A;ISH MSCI JP-€HA
FR0010315770;EUR;FP;NDDUWI;Semi-Anl;WLD;ETP;LYXOR MSCI WORLD;#N/A N/A;#N/A N/A;LYXETF MSCI WRLD
LU1681040819;USD;FP;ITRR1T3;#N/A N/A;US1;ETP;AMUNDI US TREASURY 1-3 ETF;#N/A N/A;#N/A N/A;AMUNDI ETF US TR
IE00B57X3V84;USD;LN;DJSWEX4R;None;IGSU;ETP;ISHARES GLOBAL SUST SCREENED;#N/A N/A;#N/A N/A;ISHR GLB SUST
IE00BJK55C48;EUR;NA;I35046EU;None;EHYA;ETP;ISHARES EUR HY CORP ESG EURA;#N/A N/A;#N/A N/A;ISH €HYCP ESG €A
NL0009690247;EUR;NA;IB8A;Quarter;TCBT;ETP;VANECK EUR CORP ETF;#N/A N/A;#N/A N/A;VANECK EUR CORP
LU0908501058;EUR;FP;SXXT;None;MFED;ETP;LYXOR CORE EURSTX300 DR;#N/A N/A;#N/A N/A;LYXETF EURSTX300
LU1681047236;EUR;FP;SX5T;#N/A N/A;C50;ETP;AMUNDI EURO STOXX 50 ETF DR;#N/A N/A;#N/A N/A;AMUNDI ETF EURO
IE00B5M1WJ87;EUR;GY;SPEUHDAN;Semi-Anl;SPYW;ETP;SPDR EUR DIV ARISTOCRATS;#N/A N/A;#N/A N/A;SPDR EUR DIV
LU1681038243;EUR;FP;XNDXNNR;None;ANX;ETP;AMUNDI NASDAQ 100-EUR;#N/A N/A;#N/A N/A;AMUNDI NS 100-E
